Item Name,Qty,Price (total) (USD),Item link,Notes
Cherry MX style switches,9,$9.25,https://aliexpress.ru/item/32839844484.html?sku_id=65063435222&spm=a2g2w.productlist.search_results.2.2d1955eaz2bySe,This is part of MacroPad Kit
1N4148 diodes,9,$0.45,https://aliexpress.ru/item/1005003194692663.html?sku_id=12000024603253281&spm=a2g2w.productlist.search_results.3.7a8650df1zIVJF,This is part of MacroPad Kit
Custom PCB,1,,,"This is part of MacroPad Kit. Made by third parties(JLCPCB, PCBWAY)"
0.91 SSD1306 OLED display 128x32px,1,$1.64,https://aliexpress.ru/item/1005008472586580.html?sku_id=12000045297338933&spm=a2g2w.productlist.search_results.9.2610264e64llCk,This is part of MacroPad Kit
Xiao Speeed RPI2040 microcontroller,1,$8.00,https://aliexpress.ru/item/1005007427287029.html?sku_id=12000040716641980&spm=a2g2w.productlist.search_results.6.2ae72c3crq7QAu,This is part of MacroPad Kit
3d printer enclosure (top and bottom) and knob for encoder,,,,This is part of MacroPad Kit (3d printed)
EC11 Encoder,1,$0.67,https://aliexpress.ru/item/1005006693443387.html?sku_id=12000048311239356&spm=a2g2w.productlist.search_results.0.7c6569f4dKoZCx,This is part of MacroPad Kit
M3*16mm screws,4,$2.16,https://aliexpress.ru/item/1005002364568213.html?sku_id=12000020355723657&spm=a2g2w.productlist.search_results.1.723a4ca3RsPx8o,This is part of MacroPad Kit
M35m4mm heatset inserts,4,$1.41,https://aliexpress.ru/item/1005008666672949.html?sku_id=12000046157335344&spm=a2g2w.productlist.search_results.0.74496fe3P3vvWW,This is part of MacroPad Kit
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$14.33,,,
